Fecha,Velocidad_Viento,Presión
2017-01-01,2.743478260869570,59.0
2017-01-02,2.8944444444444400,1018.2777777777800
2017-01-03,4.016666666666670,1018.3333333333300
2017-01-04,4.545,1015.7
2017-01-05,3.3000000000000000,1014.3333333333300
2017-01-06,8.681818181818180,1011.7727272727300
2017-01-07,10.041666666666700,1011.375
2017-01-08,1.95,1015.55
2017-01-09,6.542857142857140,1015.952380952380
2017-01-10,9.361111111111110,1016.8888888888900
2017-01-11,9.77222222222222,1016.7777777777800
2017-01-12,6.626315789473680,1016.3684210526300
2017-01-13,6.435294117647060,1017.5294117647100
2017-01-14,5.276,1018.84
2017-01-15,3.630434782608700,1018.1304347826100
2017-01-16,10.38,1017.15
2017-01-17,8.038888888888890,1018.3888888888900
2017-01-18,6.029166666666660,1021.9583333333300
2017-01-19,10.338095238095200,1022.8095238095200
2017-01-20,11.226315789473700,1021.7894736842100
2017-01-21,13.695652173913000,1020.4782608695700
2017-01-22,5.8680000000000000,1021.04
2017-01-23,6.752941176470590,1019.8235294117600
2017-01-24,3.3913043478260900,1018.8695652173900
2017-01-25,8.756000000000000,1018.4
2017-01-26,8.467857142857140,1017.7857142857100
2017-01-27,14.358333333333300,1018.125
2017-01-28,9.690909090909090,1019.6363636363600
2017-01-29,10.294444444444400,1017.3888888888900
2017-01-30,4.322222222222220,1015.8333333333300
2017-01-31,4.625,1015.5
2017-02-01,5.1000000000000000,1017.5
2017-02-02,3.027272727272730,1018.9090909090900
2017-02-03,1.8545454545454500,1017.7272727272700
2017-02-04,9.820000000000000,1014.4
2017-02-05,8.100000000000000,1014.2105263157900
2017-02-06,9.044444444444440,1016.0
2017-02-07,7.637500000000000,1016.125
2017-02-08,4.08,1015.6
2017-02-09,7.875000000000000,1016.375
2017-02-10,9.066666666666670,1015.6666666666700
2017-02-11,3.95,1016.625
2017-02-12,1.625,1019.625
2017-02-13,6.377777777777780,1021.5555555555600
2017-02-14,6.9625,1021.375
2017-02-15,5.557142857142860,1020.5714285714300
2017-02-16,10.4375,1017.625
2017-02-17,9.280000000000000,1016.5
2017-02-18,6.25,1016.25
2017-02-19,6.054545454545460,1013.0
2017-02-20,6.937500000000000,1005.375
2017-02-21,12.341666666666700,1007.4166666666700
2017-02-22,7.4125000000000000,1012.25
2017-02-23,14.35,1015.25
2017-02-24,16.6625,1016.125
2017-02-25,11.928571428571400,1014.2857142857100
2017-02-26,11.1125,1012.375
2017-02-27,5.1000000000000000,1014.25
2017-02-28,3.9111111111111100,1013.1111111111100
2017-03-01,6.415384615384620,1012.9230769230800
2017-03-02,5.930000000000000,1012.15
2017-03-03,7.4125000000000000,1010.625
2017-03-04,8.350000000000000,1010.0
2017-03-05,9.962500000000000,1010.5
2017-03-06,9.666666666666660,1010.3333333333300
2017-03-07,6.025,1007.375
2017-03-08,10.263636363636400,1008.9090909090900
2017-03-09,8.342857142857140,1007.3571428571400
2017-03-10,11.4625,1006.875
2017-03-11,5.566666666666670,1009.8
2017-03-12,7.637500000000000,1014.75
2017-03-13,9.055555555555550,1014.8888888888900
2017-03-14,4.522222222222220,1016.5555555555600
2017-03-15,7.175000000000000,1014.125
2017-03-16,5.5600000000000000,1011.1
2017-03-17,11.490000000000000,1010.7
2017-03-18,7.1230769230769200,1009.8461538461500
2017-03-19,9.161111111111110,1011.8888888888900
2017-03-31,6.950000000000000,1007.5
2017-04-01,9.0375,1005.0
2017-04-02,9.2625,1004.25
2017-04-03,6.9375,1004.25
2017-04-04,14.320000000000000,1007.2
2017-04-05,14.384615384615400,1005.0
2017-04-06,13.577777777777800,1002.8888888888900
2017-04-07,4.65,1007.375
2017-04-08,8.337500000000000,1010.375
2017-04-09,14.125,1010.625
2017-04-10,19.314285714285700,1008.5714285714300